ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
20.0,2412.44,764.44,194.48,108.57,163.13,104.78,324.27,279.34,426.48,682.7,813.48,973.35
20.0,3496.87,1164.03,272.11,153.33,229.75,145.78,324.27,287.32,335.68,623.83,685.49,982.11
20.0,3829.74,1233.53,334.07,176.53,230.61,134.39,314.48,278.2,260.18,551.79,630.49,974.95
21.0,2639.76,970.88,221.14,123.49,179.36,117.3,657.25,384.23,828.48,1194.07,1990.09,1731.03
21.0,3746.24,1082.28,300.35,159.13,237.44,144.64,534.28,363.71,906.02,1227.46,1712.29,1422.23
21.0,3595.46,1352.08,314.46,180.68,252.81,166.28,398.27,307.84,768.28,952.45,1201.26,779.96
21.0,3568.78,1518.66,329.36,190.62,257.09,174.25,487.49,319.24,760.12,818.01,1329.25,941.52
21.0,2442.59,1296.89,269.76,159.96,196.44,142.36,393.91,184.71,568.3,751.24,1355.8,1184.26
21.0,2289.5,940.22,238.39,131.78,158.01,112.75,371.06,168.74,562.18,784.63,1278.06,1185.06
21.0,2540.02,1153.81,236.04,140.07,186.19,134.39,423.29,188.13,535.65,765.3,1266.68,1228.03
21.0,2725.59,1060.81,230.55,135.09,204.13,140.08,406.97,193.83,447.91,707.31,1118.77,1236.79
21.0,3733.48,1375.58,352.89,190.62,245.98,152.61,449.41,210.93,389.75,651.95,1096.02,1276.58
21.0,3916.73,1249.88,346.61,183.16,243.42,145.78,480.96,201.81,349.96,651.95,1322.62,1496.24
22.0,3332.18,1076.14,236.04,138.41,213.53,129.83,417.85,143.66,761.14,1151.02,2251.77,1653.83
22.0,3114.13,1044.46,225.06,135.92,206.69,120.72,660.51,295.3,1214.15,1665.02,2847.18,1951.48
22.0,3015.55,939.2,196.83,120.18,193.88,113.89,908.61,441.24,1212.11,1764.31,3014.05,2110.66
22.0,2696.59,781.81,183.5,101.94,156.3,88.83,661.6,389.93,1316.18,1765.19,2755.21,2000.83
22.0,3041.06,772.62,205.46,111.06,174.24,93.39,544.08,517.63,996.83,1525.32,1945.53,1847.22
22.0,2537.7,722.54,190.56,103.6,149.47,84.28,627.87,419.58,657.07,1071.06,2045.08,1891.79
22.0,2598.01,662.24,181.15,94.48,143.49,75.17,482.05,353.45,1132.53,1468.21,2466.04,1852.79
22.0,3442.36,651.0,204.67,99.46,183.63,95.67,767.15,672.69,1233.54,1742.34,2174.97,1898.16
22.0,3668.53,837.0,238.39,128.46,218.65,120.72,495.11,383.09,908.06,1343.44,1929.41,1692.82
22.0,3321.74,765.46,192.13,106.91,199.01,117.3,487.49,404.76,746.86,1285.45,1950.27,1701.58
23.0,2651.36,1125.2,241.53,141.72,181.07,119.58,599.57,249.69,920.31,1236.25,2257.46,1606.87
23.0,2624.69,1016.87,236.04,131.78,164.84,103.64,498.38,193.83,749.92,1079.85,2057.4,1489.88
23.0,2301.09,897.3,224.28,121.0,140.93,89.97,675.74,291.88,912.14,1265.24,2384.5,1625.97
23.0,2406.64,946.35,215.65,122.66,156.3,99.08,714.92,436.68,937.65,1394.4,2084.9,1805.84
23.0,2485.51,800.21,192.91,106.09,150.32,92.25,652.89,428.7,677.48,1090.39,1653.51,1593.34
23.0,2731.39,845.18,214.08,111.06,148.61,85.42,452.67,308.98,559.12,873.37,1462.94,1372.09
23.0,2603.81,755.24,204.67,106.91,140.07,75.17,662.69,480.01,668.29,1059.64,1590.93,1551.16
23.0,2911.16,657.13,178.8,96.97,159.72,83.14,534.28,354.59,560.14,925.21,1559.64,1590.16
23.0,2983.07,711.3,196.83,101.94,163.99,94.53,615.9,477.73,668.29,1065.79,1553.96,1582.99
23.0,3509.63,930.0,253.29,131.78,204.98,113.89,731.24,665.85,593.81,1164.2,1499.91,1707.95
24.0,1742.06,830.87,141.94,94.48,140.93,103.64,268.77,171.02,238.75,502.58,979.4,1104.67
24.0,1706.1,642.83,129.39,79.56,124.7,80.86,403.71,216.63,531.57,780.23,1391.83,1472.37
24.0,1617.96,536.54,138.02,80.39,119.57,71.75,445.06,312.4,719.31,1044.7,1417.43,1355.37
24.0,1243.33,382.22,109.0,64.65,105.05,70.61,313.39,308.98,516.27,803.96,938.63,1086.37
24.0,3198.8,591.73,203.89,118.52,199.01,129.83,170.84,217.77,311.19,568.48,788.83,880.24
24.0,4802.84,1293.83,370.14,206.37,315.16,187.91,165.4,223.47,304.05,563.21,878.9,896.95
24.0,3034.1,1410.33,295.64,184.82,234.88,160.58,268.77,288.46,303.03,570.24,802.1,920.83
24.0,2239.62,1144.62,219.57,138.41,175.09,140.08,191.52,145.94,281.6,477.1,689.28,814.18
24.0,2368.36,1002.56,217.22,125.15,169.11,127.55,186.07,158.48,310.17,533.33,788.83,851.59
24.0,2446.07,762.4,205.46,113.55,161.43,113.89,426.56,363.71,350.98,751.24,959.49,1100.69
